rank,domain,is_chinese,score,tier,official,nsfw,eco_count,effort,ecosystems,names,langs
275,eternalmangas.org,0,28,T3,,0,2,to-build,aidoku|mihon,EternalMangas|es.eternalmangas,es
276,ezmanga.org,0,28,T3,,0,2,to-build,aidoku|mihon,EZmanga|en.ezmanga,en
277,firescans.xyz,0,28,T3,,0,2,to-build,aidoku|mihon,Firescans|en.firescans,en
278,flamecomics.xyz,0,28,T3,,0,2,to-build,aidoku|mihon,Flame Comics|en.flamecomics,en
279,fmteam.fr,0,28,T3,,0,2,to-build,aidoku|mihon,FMTEAM|fr.fmteam,fr
280,foxtruyen2.com,0,28,T3,,0,2,to-build,aidoku|mihon,FoxTruyen|vi.foxtruyen,vi
281,go-manga.com,0,28,T3,,0,2,to-build,aidoku|mihon,Go Manga|th.gomanga,th
282,grabber.zone,0,28,T3,,0,2,to-build,aidoku|mihon,Grabber Zone|multi.grabberzone,all|multi
283,guya.cubari.moe,0,28,T3,,0,2,to-build,aidoku|mihon,Guya|en.guya,en
284,hivetoons.org,0,28,T3,,0,2,to-build,aidoku|mihon,Hive Scans|en.hivescans,en
285,magustoon.org,0,28,T3,,0,2,to-build,aidoku|mihon,Magus Manga|en.magusmanga,en
286,manga.io.vn,0,28,T3,,0,2,to-build,aidoku|mihon,DocTruyen5s|vi.doctruyen5s,vi
287,manga.madokami.al,0,28,T3,,0,2,to-build,aidoku|mihon,Madokami|en.madokami,en
288,mangabats.com,0,28,T3,,0,2,to-build,aidoku|mihon,Mangabat|en.mangabat,en
289,mangadistrict.com,0,28,T3,,0,2,to-build,aidoku|mihon,Manga District|en.mangadistrict,en
290,mangafire.to,0,28,T3,,0,2,to-build,aidoku|mihon,MangaFire|multi.mangafire,en|es|es-419|fr|ja|multi|pt|pt-br
291,mangago.me,0,28,T3,,0,2,to-build,aidoku|mihon,Mangago|en.mangago,en
292,mangakakalot.gg,0,28,T3,,0,2,to-build,aidoku|mihon,Mangakakalot|en.mangakakalot,en
293,mangalivre.to,0,28,T3,,0,2,to-build,aidoku|mihon,Manga Livre.to|pt.mangalivre,pt|pt-br
294,mangamura.me,0,28,T3,,0,2,to-build,aidoku|mihon,Manga Mura|ja.mangamura,ja
295,mangaread.org,0,28,T3,,0,2,to-build,aidoku|mihon,MangaRead.org|en.mangareadorg,en
296,mangatx.cc,0,28,T3,,0,2,to-build,aidoku|mihon,MangaTX|en.mangatx,en
297,mangaworld.mx,0,28,T3,,0,2,to-build,aidoku|mihon,Mangaworld|it.mangaworld,it
298,manhuaplus.org,0,28,T3,,0,2,to-build,aidoku|mihon,ManhuaPlus (Unoriginal)|en.manhuaplusorg,en
299,nettruyenviet10.com,0,28,T3,,0,2,to-build,aidoku|mihon,NetTruyenViet (unoriginal)|vi.nettruyen,vi
300,nyxscans.com,0,28,T3,,0,2,to-build,aidoku|mihon,Nyx Scans|en.nyxscans,en
301,raw.senmanga.com,0,28,T3,,0,2,to-build,aidoku|mihon,Sen Manga|ja.senmanga,ja
